t_id,t_name,t_salary
290,Mikael,14881.14
291,Olimpia,7656.47
292,Mommy,4186.85
293,Miquela,3915.67
294,Cordy,15334.19
295,Ricki,8140.8
296,Astra,14623.4
297,Trula,25641.78
298,Meriel,8948.02
299,Scarface,18934.74
300,Pincus,16804.37
301,Jodi,7165.75
302,Leif,4940.51
303,Katinka,3936.96
304,Brandais,12876.79
305,Evangelina,13312.75
306,Betti,1154.78
307,Lance,30485.87
308,Wilbur,7504.27
309,Kirbee,1413.86
310,Kinny,8876.3
311,Bibbie,8360.28
312,Margarethe,3294.89
313,Tracy,27887.93
314,Arturo,39268.58
315,Lynnea,6426.95
316,Carmelia,57816.86
317,Raimondo,24816.49
318,Karena,22832.59
319,Pearline,6037.18
320,Ingrid,5424.23
321,Emery,12881.17
322,Nowell,3473.97
323,Lazar,5070.39
324,Lanie,7840.69
325,Jojo,1770.36
326,Homere,32066.84
327,Danni,12863.59
328,Bambi,1040.97
329,Isabella,4678.18
330,Myrle,7284.68
331,Lauree,2741.3
332,Melodie,1495.33
333,Stuart,8704.14
334,Charlean,49552.34
335,Madlen,4699.63
336,Hanni,6732.16
337,Rodrick,2263.6
338,Kalinda,5260.73
339,Justinn,11020.93
340,Bette,12333.5
341,Linette,13720.57
342,Gui,3001.73
343,Carmine,5777.41
344,Job,13699.85
345,Ernie,1766.04
346,Alyosha,7092.22
347,Red,11107.81
348,Schuyler,443.65
349,Janifer,7658.6
350,Earlie,4079.07
351,Eartha,34559.17
352,Cammie,10949.92
353,Jewel,2778.44
354,Demetris,29361.84
355,Augustus,15226.87
356,Julietta,35760.63
357,Carolynn,2645.17
358,Lexis,9120.62
359,Ham,168.21
360,Shani,11442.55
361,Brandtr,51140.43
362,Carree,6841.66
363,Rex,9404.23
364,Luciana,19821.27
365,Portie,1152.65
366,Camellia,2523.99
367,Queenie,15087.16
368,Free,6892.76
369,Normie,5539.92
370,Rockie,8307.57
371,Dode,9255.7
372,Clarabelle,4027.36
373,Frank,2203.27
374,Lulita,43711.53
375,Elene,5295.93
376,Jermayne,3542.72
377,Dara,3073.41
378,Ezequiel,2895.25
379,Major,11944.19
380,Chauncey,3902.82
381,Lon,7258.81
382,Tarrance,46.99
383,Cosmo,18360.47
384,Goldi,166.54
385,Genny,3256.51
386,Gracia,3214.68
387,Kilian,21596.47
388,Steffi,81.92
389,Meaghan,4261.58
390,Cathe,153.21
391,Ephrayim,17072.77
392,Karylin,1614.0
393,Dareen,3435.4
394,Melosa,20390.86
395,Gabriele,33726.51
396,Joeann,1191.92
397,Jennette,7076.17
398,Deb,237.74
399,Merrile,732.81
400,Margaretha,1985.97
401,Orelia,18491.29
402,Park,2963.64
403,Cherri,3747.41
404,Delbert,3414.77
405,Neville,18252.7
406,Tabbie,1749.0
407,Katharina,10209.14
408,Lazarus,4653.76
409,Mady,3317.27
410,Henrik,2142.74
411,Tim,29425.65
412,Ardine,995.35
413,Simmonds,23451.12
414,Stephenie,12562.28
415,Tracie,8790.82
416,Demetris,8348.37
417,Angus,234.33
418,Vivyan,14981.2
419,Mariska,3351.46
420,Tara,12254.65
421,Kendra,14252.2
422,Kylila,667.81
423,Shelagh,4394.56
424,Gayleen,2359.82
425,Walther,16902.39
426,Filberto,15734.2
427,Ezra,13793.92
428,Charissa,6773.62
429,Ianthe,13120.32
430,Huey,10581.18
431,Kingsley,1515.15
432,Marinna,518.41
433,Glennie,8659.28
434,Lanie,15965.2
435,Leigh,13233.74
436,Derron,843.41
437,Otho,4938.69
438,Darrelle,3865.43
439,Torin,56129.39
440,Humfrey,4764.56
441,Korrie,10896.22
442,Netty,1815.55
443,Joey,32063.9
444,Vonnie,12030.34
445,Callida,3929.84
446,Aldin,7448.33
447,Julee,847.89
448,Luciano,3708.12
449,Daryl,758.32
450,Angelina,4116.92
451,Clementine,9797.6
452,Raeann,25114.16
453,Phil,3639.98
454,Nerita,12523.85
455,Reed,7403.46
456,Jordon,5449.91
457,Randall,9555.89
458,Daffi,987.95
459,Marjie,1252.87
460,Charis,3544.32
461,Elbertina,646.28
462,Fayre,3899.09
463,Alexio,2822.77
464,Abigail,2602.24
465,Jennine,10692.98
466,Riordan,20635.11
467,Lauritz,8035.8
468,Waldon,1547.67
469,Ingamar,3747.32
470,Isac,518.93
471,Robers,4663.85
472,Linnea,717.66
473,Ingeberg,9950.51
474,Emogene,12678.37
475,Allys,426.18
476,Jake,13466.5
477,Quintina,199.35
478,Raynard,12748.55
479,Jocelyn,10855.1
480,Cris,1472.46
481,Shaun,7463.49
482,Sondra,1870.1
483,Rhianon,5837.14
484,Hayward,4063.21
485,Chris,9400.5
486,Leeland,7703.35
487,Gibbie,1578.75
488,Britney,6617.52
489,Urbanus,86.5
490,Elisabet,27932.05
491,Nesta,4231.86
492,Maribeth,6784.11
493,Ophelia,2274.89
494,Kariotta,39816.6
495,Xaviera,3637.44
496,Charity,14044.08
497,Robb,6735.5
498,Maxie,3694.81
499,Tammi,15948.57
500,Jacynth,4968.59
501,Brigitta,5375.93
502,Kinna,14036.23
503,Hinda,3959.19
504,Hedda,29482.19
505,Arie,13151.72
506,Lane,3152.57
507,Jeanine,39545.72
508,Carie,3255.31
509,Tiler,5211.0
510,Tillie,966.48
511,Gerome,1674.09
512,Wendall,28001.85
513,Colly,10578.71
514,Patin,7836.55
515,Drugi,5488.0
516,Myles,3125.74
517,Rhody,31205.39
518,Tedmund,4904.21
519,Daisi,1441.43
520,Allan,8668.81
521,Sherline,4259.12
522,Ferris,20060.45
523,Obie,4142.44
524,Moritz,7263.77
525,Riannon,16811.04
526,Ward,4445.44
527,Germaine,5660.99
528,Aldrich,3249.04
529,Sherline,14076.33
530,Kathy,6158.18
531,Gordie,16612.13
532,Felice,4692.36
533,Paten,24196.35
534,Leif,3182.67
535,Roy,7807.86
536,Griswold,1786.26
537,Willette,3972.71
538,Alix,16761.91
539,Vern,1640.66
540,Chilton,12399.93
541,Aloysia,14285.1
542,Herbie,12416.44
543,Wally,10112.1
544,Aileen,5643.47
545,Karol,1065.31
546,Abbot,2475.67
547,Hort,2686.22
548,Geordie,3976.59
549,Rollin,671.39
550,Wolfgang,7936.57
551,Allyce,21577.95
552,Karly,635.91
553,Jaquenette,381.48
554,Devondra,7912.32
555,Traver,1284.01
556,Robb,27961.94
557,Tiffanie,35528.07
558,Jobina,13620.12
559,Natasha,1087.81
560,Mannie,2204.24
561,Hazlett,9617.51
562,Ugo,2946.27
563,Isidro,15241.48
564,Catharine,2087.29
565,Freddie,5818.62
566,Lexy,5701.88
567,Murry,662.66
568,Myra,11270.19
569,Oates,8382.73
570,Aubree,11781.86
571,Robinetta,1294.68
572,Violetta,7678.94
573,Nita,876.17
574,Hernando,356.55
575,Terence,4307.96
576,Porter,12981.84
577,Shayna,6341.16
578,Arda,6620.96
579,Lauretta,21567.71
580,Gordie,25871.92
581,Boycie,14387.49
582,Saunders,199.47
583,Frankie,26048.94
584,Neil,2359.67
585,Charlean,6614.74
586,Nanette,7041.33
587,Tessie,19876.24
588,Ebeneser,27631.58
589,Abagael,11889.84
590,Ofelia,8283.45
591,Skipp,49585.27
592,Zsa zsa,2311.62
593,Travis,11099.88
594,Renault,22435.14
595,Laney,3610.45
596,Emily,3989.97
597,Joan,2648.62
598,Wilbur,202.08
599,Nita,36991.17
600,Clare,5391.03
601,Georgia,640.16
602,Buffy,5236.69
603,Piotr,4401.12
604,Derrik,5944.36
605,Matty,3260.21
606,Roscoe,573.13
607,Ansell,3297.39
608,Mart,2209.9
609,Ferrel,10909.02
610,Cherry,8095.45
611,Emmye,26056.42
612,Kristy,2021.25
613,Ardelis,3798.53
614,Rachel,15645.95
615,Leopold,1421.78
616,Leelah,22142.47
617,Mattias,342.5
618,Olimpia,14681.52
619,Anette,495.17
620,Row,8076.59
621,Kippie,7071.79
622,Virgina,26242.46
623,Henrik,15239.73
624,Maximo,21500.34
625,Kendricks,6746.32
626,Chris,13042.68
627,Fannie,8609.62
628,Andeee,5013.83
629,Lolita,10598.71
630,Lida,11115.33
631,Torey,17136.82
632,Odelle,9467.09
633,Barbi,428.1
634,Keely,5813.04
635,Eda,20236.55
636,Kelcy,3111.65
637,Massimo,26760.14
638,Armstrong,2055.21
639,Kristi,5269.4
640,Merilee,6008.37
641,Raimondo,5497.97
642,Ginnifer,1516.4
643,Shepard,3690.9
644,Tades,2070.66
645,Feliza,6175.39
646,Burgess,5854.9
647,Madelle,26232.43
648,Billie,1186.74
649,Goober,13993.01
650,Kenneth,4335.64
651,Adore,16745.62
652,Dew,12970.47
653,Sancho,55846.72
654,Valerye,2769.19
655,Dilly,7518.56
656,Rorke,571.28
657,Sidoney,43662.56
658,Inessa,18215.71
659,Myron,19721.07
660,Julieta,9608.84
661,Burgess,1760.88
662,Scarface,18882.21
663,Christan,16571.47
664,Cathlene,2179.48
665,Catherina,3533.45
666,Brucie,17864.92
667,Hollis,28265.47
668,Kyle,711.81
669,Ceil,3035.34
670,Dotti,25481.93
671,Agnese,7018.42
672,Valentin,2119.61
673,Merwin,5333.28
674,Addy,11985.69
675,Janaye,10679.37
676,Eberhard,4082.35
677,Zahara,3645.94
678,Wheeler,481.34
679,Nico,21000.88
680,Smitty,6883.05
681,Stearn,10292.98
682,Farlee,5167.49
683,Cybil,14407.09
684,Gardner,20170.92
685,Neilla,32347.11
686,Jessi,25658.23
687,Susie,418.45
688,Gerrilee,15384.33
689,Faulkner,1658.1
690,Ced,13869.87
691,Feliks,16324.43
692,Corliss,2180.45
693,Mandie,3434.72
694,Dane,15285.19
695,Annissa,8891.05
696,Tatiana,3871.45
697,Woodrow,2144.79
698,Clea,9435.11
699,Roberto,5040.1
700,Jermayne,3019.68
701,Stephannie,15239.59
702,Adriena,23556.29
703,Piggy,7147.86
704,Jared,6890.18
705,Marin,5425.54
706,Felipa,2010.31
707,Kimmi,25501.14
708,Karlik,12611.82
709,Cully,6430.99
710,Andromache,24148.43
711,De,14453.55
712,Wilek,3188.02
713,Gordie,5702.75
714,Mic,6999.61
715,Adi,25006.45
716,Rochell,19637.84
717,Krispin,3533.13
718,Isidor,6770.9
719,Carissa,358.89
720,Connor,6082.82
721,Sigrid,6320.22
722,Christan,2915.93
723,Webb,1296.32
724,Annice,7643.99
725,Malanie,7496.05
726,Morris,20164.47
727,Agretha,7482.12
728,Adolphus,7903.32
729,Dorisa,11287.12
730,Hurlee,7176.5
731,Ethelred,5843.3
732,Cherlyn,13786.28
733,Foss,18999.86
734,Jeri,17486.74
735,Lowe,10732.97
736,Hartwell,5665.9
737,Skippy,9221.02
738,Lizzy,4270.86
739,Ring,4248.89
740,Ainslie,3352.14
741,Angelina,22829.26
742,Bernard,1726.0
743,Ottilie,1346.25
744,Carmon,6306.3
745,Berkley,44.98
746,Lesly,257.46
747,Stanley,5481.88
748,Ermentrude,9272.52
749,Piper,1649.53
750,Blanca,644.75
751,Debby,3225.26
752,Lynde,19478.01
753,Hanna,15886.98
754,Mella,2583.42
755,Herminia,8149.83
756,Jacinthe,11316.67
757,Madelle,4519.8
758,Giffie,5116.25
759,Fredrick,14573.89
760,Analise,12562.33
761,Jedediah,2163.92
762,Lisbeth,2803.91
763,Clementina,4805.14
764,Leif,1851.05
765,Vivia,261.35
766,Arney,9314.53
767,Ax,6492.72
768,Felicia,21457.76
769,Pearline,42999.17
770,Vidovik,10373.4
771,Joyann,12602.07
772,Baxter,6378.56
773,Cleve,6505.2
774,Isaak,2977.06
775,Margareta,6790.52
776,Oren,6750.38
777,Levy,2318.65
778,Gweneth,18768.15
779,Torrance,1270.22
780,Doralin,1211.58
781,Haily,29355.91
782,Hendrick,5123.21
783,Aviva,19119.37
784,Tammi,7794.77
785,Moreen,8601.54
786,Morlee,9310.34
787,Alvera,2320.4
788,Ertha,12648.78
789,Shelli,2823.34
790,Bruno,21471.39
791,Walliw,1783.03
792,Arlen,2032.33
793,Layton,3583.61
794,Niels,1052.34
795,Elisha,8707.64
796,Daniele,5989.9
797,Amby,2549.88
798,Hoebart,2017.71
799,Karla,30270.8
800,Cris,5539.29
801,Dynah,2940.43
802,Happy,200.48
803,Katharyn,3104.11
804,Marika,5544.6
805,Germana,5110.6
806,Dion,9442.43
807,Issi,8835.58
808,Alister,1998.79
809,Lian,13272.28
810,Jase,3149.32
811,Benjy,81.97
812,Randy,7399.91
813,Lenna,3759.84
814,Shea,13337.68
815,Garner,17881.86
816,Timmy,16222.27
817,Madge,1674.11
818,Ken,1066.65
819,Lancelot,510.47
820,Gypsy,1466.26
821,Holmes,20177.92
822,Michale,39362.24
823,Lisle,21744.24
824,Anallese,20386.01
825,Lotte,44003.76
826,Scarlet,2009.5
827,Ambur,25611.0
828,Annalise,7300.46
829,Adolphus,7391.32
830,Adi,784.72
831,Hallie,3287.23
832,Cecilia,45084.96
833,Winfred,40246.66
834,Mirilla,37949.23
835,Salli,24652.61
836,Jessie,25861.2
837,Jory,7733.17
838,Melva,4599.83
839,Allen,5735.33
840,Leonore,23596.85
841,Neddie,19244.65
842,Leeanne,1352.01
843,Marianne,33201.51
844,Renard,441.37
845,Adolf,1173.0
846,Violetta,2734.04
847,Jefferson,5954.8
848,Byrom,7096.26
849,Krystyna,2778.41
850,Robers,5472.9
851,Stanislas,991.44
852,Bartolemo,4487.55
853,Guilbert,20457.44
854,Victoria,461.43
855,Augusta,2454.5
856,Matty,1604.66
857,Hilary,5762.76
858,Titus,16888.81
859,Odell,1872.62
860,Letty,10332.24
861,Silas,15360.99
862,Marney,136.52
863,Fiorenze,374.01
864,Wilhelmine,73.11
865,Eliot,4961.61
866,Pamelina,18280.63
867,Donny,18209.01
868,Brandy,3980.43
869,Moira,5816.05
870,Emmanuel,4906.05
871,Smitty,10966.29
872,Michaella,6881.54
873,Shurwood,1335.97
874,Erin,15343.86
875,Lew,11806.14
876,Deeyn,140.95
877,Melody,12120.54
878,Vinni,2899.78
879,Myrtice,11522.85
880,Norry,30167.05
881,Jimmie,3034.63
882,Arleyne,23977.75
883,Brockie,2010.89
884,Jeannine,1762.7
885,Marie-ann,16276.84
886,Cornelia,1884.15
887,Carlina,4642.29
888,Porter,20965.8
889,Packston,7359.12
890,Jesse,1981.83
891,Gallard,1422.53
892,Wilton,4515.47
893,Bank,9674.95
894,Mellisent,6327.13
895,Danya,14154.08
896,Kerry,9142.79
897,Casar,2323.68
898,Mahmud,6765.85
899,Mikaela,7535.15
900,Jennifer,4265.54
901,Courtnay,3075.6
902,Lucky,14051.8
903,Lyndel,11.54
904,Tate,5219.89
905,Cesare,420.68
906,Maury,657.31
907,Nan,10215.87
908,Sheelagh,1877.42
909,Juliet,19420.4
910,Fiorenze,2093.1
911,Clementina,2899.85
912,Emmalynn,14894.85
913,Elston,14530.71
914,Annmarie,2808.4
915,Morton,19981.71
916,Viole,13280.09
917,Lian,6898.06
918,Larina,13018.79
919,Gabriel,4465.0
920,Daphne,11696.06
921,Paulo,4428.03
922,Ansel,7964.35
923,Shay,5072.9
924,Donovan,631.26
925,Alasdair,35765.17
926,Ginny,26312.19
927,Jacklyn,5745.37
928,Mikey,7240.57
929,Garner,2555.77
930,Monah,3992.74
931,Kimble,2124.12
932,Doralynn,367.08
933,Ingamar,2471.6
934,Drew,3651.04
935,Rurik,25090.47
936,Babb,15761.27
937,Brennan,8161.09
938,Thebault,7824.19
939,Lari,3792.98
940,Northrup,11801.33
941,Myles,6735.47
942,Maggee,4335.15
943,Jeannine,3849.01
944,Tiertza,10826.15
945,Tommy,1574.0
946,Perrine,22010.38
947,Zebulen,21508.34
948,Ross,1064.51
949,Gabriell,24135.9
950,Shaw,6962.95
951,Ruby,3298.99
952,Selia,2123.35
953,Valma,1113.73
954,Joela,4063.85
955,Isaak,4523.72
956,Marco,4074.6
957,Annmarie,3106.29
958,Rufus,7857.33
959,Nona,4129.99
960,Helenelizabeth,6583.84
961,Sybilla,1114.77
962,Dasya,9980.42
963,Marie,31761.34
964,Corri,4748.3
965,Deonne,6020.15
966,Ara,9392.42
967,Vonny,14400.7
968,Cchaddie,11267.47
969,Land,9683.82
970,Felice,33102.27
971,Lorraine,2526.85
972,Tonye,2948.72
973,Skell,13951.2
974,Lula,4571.96
975,Robinson,3102.95
976,Emlyn,8156.69
977,Annadiane,3796.25
978,Liz,630.5
979,Katrinka,9598.99
980,Aviva,14881.68
981,Dinny,5818.4
982,Joannes,13152.28
983,Claudia,5290.71
984,Winni,3645.74
985,Cate,2462.86
986,Kermit,8817.34
987,Jayme,11555.25
988,Georgie,22230.56
989,Vincenz,1424.15
990,Welch,11934.64
991,Rica,9454.12
992,Temp,17973.84
993,Nial,8050.46
994,Nicol,5127.69
995,Betsy,17440.0
996,Natalya,4761.82
997,Dorine,12007.81
998,Ilyssa,10175.09
999,Dur,7283.94
1000,Craggy,12437.44
